orientation,household,decoration,residence_id,unit_price,house_type,property_type,residence_url,house_owner,mortgage,area,elevator,build_type,heating_style,structure,lj_num,total_floor,crawl_time,listing_date,last_deal,house_backup,inner_area,total_price,build_struct,ring_num,url,house_age,floor,house_type_struct
南,两梯三户,其他,0,59406,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711063336107/,暂无数据,暂无数据,101㎡,有,板楼,,2室2厅1厨1卫,104100615214,32,2017-09-21 14:11:04,2017-09-20,暂无数据,未上传房本照片,暂无数据,600,钢混结构, 四环外,https://wh.lianjia.com/ershoufang/104100615214.html,暂无数据,高楼层,暂无数据
南 北,一梯两户,其他,0,24434,普通住宅,商品房,https://jn.lianjia.com/xiaoqu/457424405942465/,非共有,暂无数据,135.06㎡,无,板楼,集中供暖,3室2厅1厨1卫,103101744005,6,2017-09-21 14:11:05,2017-09-20,2013-07-11,已上传房本照片,122.78㎡,330,砖混结构, ,https://jn.lianjia.com/ershoufang/103101744005.html,满两年,高楼层,暂无数据
南,两梯六户,其他,0,20527,普通住宅,商品房,https://jn.lianjia.com/xiaoqu/4511059316308/,非共有,无抵押,58.46㎡,有,板塔结合,集中供暖,2室1厅1厨1卫,103101742625,17,2017-09-21 14:11:05,2017-09-20,暂无数据,未上传房本照片,暂无数据,120,钢混结构, ,https://jn.lianjia.com/ershoufang/103101742625.html,暂无数据,中楼层,暂无数据
东,一梯两户,其他,0,32857,普通住宅,商品房,https://jn.lianjia.com/xiaoqu/457013795376519/,暂无数据,暂无数据,51.13㎡,无,板楼,集中供暖,1室1厅1厨1卫,103101744475,6,2017-09-21 14:11:06,2017-09-20,暂无数据,未上传房本照片,暂无数据,168,砖混结构, ,https://jn.lianjia.com/ershoufang/103101744475.html,暂无数据,中楼层,暂无数据
北,两梯四户,其他,0,18000,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711063026230/,暂无数据,暂无数据,125㎡,有,板楼,,3室2厅1厨2卫,104100614266,33,2017-09-21 14:11:10,2017-09-20,暂无数据,未上传房本照片,暂无数据,225,钢混结构, 一至二环,https://wh.lianjia.com/ershoufang/104100614266.html,暂无数据,低楼层,平层
南,一梯三户,其他,0,16462,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711099574823/,非共有,暂无数据,33.41㎡,暂无数据,塔楼,,1室1厅1厨1卫,104100614549,8,2017-09-21 14:11:10,2017-09-20,2013-10-24,已上传房本照片,暂无数据,55,钢混结构, 一至二环,https://wh.lianjia.com/ershoufang/104100614549.html,满两年,低楼层,暂无数据
南,三梯二十四户,其他,0,21600,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711059020267/,暂无数据,暂无数据,50㎡,有,塔楼,,1室0厅1厨1卫,104100614676,28,2017-09-21 14:11:10,2017-09-20,暂无数据,未上传房本照片,暂无数据,108,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100614676.html,暂无数据,高楼层,暂无数据
南,三梯四户,其他,0,30928,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711063255365/,暂无数据,暂无数据,97㎡,有,板楼,,2室2厅1厨1卫,104100615359,45,2017-09-21 14:11:11,2017-09-21,暂无数据,未上传房本照片,暂无数据,300,钢混结构, 一至二环,https://wh.lianjia.com/ershoufang/104100615359.html,暂无数据,中楼层,暂无数据
南,一梯两户,其他,0,22222,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711056687004/,暂无数据,暂无数据,135㎡,无,板楼,,3室2厅1厨2卫,104100615208,7,2017-09-21 14:11:29,2017-09-20,暂无数据,未上传房本照片,暂无数据,300,钢混结构, 一至二环,https://wh.lianjia.com/ershoufang/104100615208.html,暂无数据,高楼层,暂无数据
南,两梯九户,其他,0,20372,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711061031668/,暂无数据,暂无数据,45.16㎡,有,板楼,,1室1厅1厨1卫,104100614893,27,2017-09-21 14:11:30,2017-09-20,暂无数据,未上传房本照片,暂无数据,92,钢混结构, 一至二环,https://wh.lianjia.com/ershoufang/104100614893.html,暂无数据,中楼层,暂无数据
南,四梯二十一户,其他,0,22093,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711100291609/,暂无数据,暂无数据,86㎡,有,板楼,,2室1厅1厨1卫,104100614317,33,2017-09-21 14:11:50,2017-09-20,暂无数据,未上传房本照片,暂无数据,190,钢混结构, 一环内,https://wh.lianjia.com/ershoufang/104100614317.html,暂无数据,高楼层,暂无数据
南,两梯四户,其他,0,30058,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711062969947/,暂无数据,暂无数据,96.48㎡,有,板楼,,2室1厅1厨1卫,104100614539,33,2017-09-21 14:11:59,2017-09-20,暂无数据,未上传房本照片,暂无数据,290,钢混结构, 一至二环,https://wh.lianjia.com/ershoufang/104100614539.html,暂无数据,低楼层,平层
