orientation,household,decoration,residence_id,unit_price,house_type,property_type,residence_url,house_owner,mortgage,area,elevator,build_type,heating_style,structure,lj_num,total_floor,crawl_time,listing_date,last_deal,house_backup,inner_area,total_price,build_struct,ring_num,url,house_age,floor,house_type_struct
南,两梯四户,精装,0,15517,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711063252115/,共有,有抵押 34万元,87㎡,有,板楼,,2室2厅1厨1卫,104100618454,34,2017-09-24 22:24:24,2017-09-22,暂无数据,未上传房本照片,暂无数据,135,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100618454.html,暂无数据,低楼层,暂无数据
南 北,一梯四户,其他,0,16659,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3715978237275515/,共有,暂无数据,90.04㎡,暂无数据,板楼,,3室2厅1厨1卫,104100618820,25,2017-09-24 22:24:24,2017-09-23,2017-09-13,已上传房本照片,68.19㎡,150,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100618820.html,暂无数据,高楼层,暂无数据
南 北,一梯两户,精装,0,20851,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3715233826458137/,非共有,无抵押,141㎡,暂无数据,板楼,,3室2厅1厨2卫,104100618071,11,2017-09-24 22:24:24,2017-09-22,暂无数据,未上传房本照片,暂无数据,294,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100618071.html,暂无数据,高楼层,暂无数据
南,一梯六户,其他,0,13018,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3715507424578525/,暂无数据,暂无数据,88.34㎡,暂无数据,暂无数据,,2室2厅1厨1卫,104100618859,15,2017-09-24 22:24:24,2017-09-23,暂无数据,未上传房本照片,暂无数据,115,未知结构, 二至三环,https://wh.lianjia.com/ershoufang/104100618859.html,暂无数据,低楼层,暂无数据
南 北,一梯两户,其他,0,15000,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711060118373/,暂无数据,暂无数据,80㎡,暂无数据,塔楼,,2室1厅1厨1卫,104100620742,10,2017-09-24 22:24:33,2017-09-24,暂无数据,未上传房本照片,暂无数据,120,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100620742.html,暂无数据,高楼层,暂无数据
西北,两梯十二户,其他,0,18076,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711100064110/,暂无数据,暂无数据,70.26㎡,有,塔楼,,1室2厅0厨1卫,104100618811,22,2017-09-24 22:24:44,2017-09-23,暂无数据,未上传房本照片,暂无数据,127,钢混结构, 一至二环,https://wh.lianjia.com/ershoufang/104100618811.html,暂无数据,高楼层,暂无数据
南 北,一梯两户,其他,0,13998,普通住宅,经济适用房,https://wh.lianjia.com/xiaoqu/3711059304827/,共有,暂无数据,76.44㎡,暂无数据,板楼,,2室2厅1厨1卫,104100617984,10,2017-09-24 22:24:55,2017-09-22,2005-09-15,已上传房本照片,70㎡,107,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100617984.html,满五年,中楼层,平层
南 北,两梯五户,其他,0,20986,普通住宅,商品房,https://jn.lianjia.com/xiaoqu/4511057847756/,暂无数据,暂无数据,71㎡,有,板楼,集中供暖,2室1厅1厨1卫,103101749747,13,2017-09-24 22:25:03,2017-09-22,暂无数据,未上传房本照片,暂无数据,149,钢混结构, ,https://jn.lianjia.com/ershoufang/103101749747.html,暂无数据,低楼层,暂无数据
南 北,两梯八户,其他,0,24000,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711060099260/,暂无数据,暂无数据,75㎡,有,塔楼,,2室1厅1厨1卫,104100621046,23,2017-09-24 22:25:04,2017-09-24,暂无数据,未上传房本照片,暂无数据,180,钢混结构, 一至二环,https://wh.lianjia.com/ershoufang/104100621046.html,暂无数据,低楼层,暂无数据
南,一梯四户,其他,0,18056,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711060080882/,暂无数据,暂无数据,144㎡,无,塔楼,,3室2厅1厨2卫,104100620846,8,2017-09-24 22:25:04,2017-09-24,暂无数据,未上传房本照片,暂无数据,260,钢混结构, 一至二环,https://wh.lianjia.com/ershoufang/104100620846.html,暂无数据,中楼层,暂无数据
南 北,三梯四户,其他,0,22670,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711056432849/,共有,暂无数据,108.07㎡,有,板楼,,3室2厅1厨1卫,104100620061,42,2017-09-24 22:25:11,2017-09-23,暂无数据,未上传房本照片,暂无数据,245,钢混结构, 一至二环,https://wh.lianjia.com/ershoufang/104100620061.html,暂无数据,低楼层,暂无数据
南 北,三梯四户,其他,0,27650,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711056432849/,共有,暂无数据,108.5㎡,有,板楼,,3室2厅1厨2卫,104100617326,42,2017-09-24 22:25:12,2017-09-22,2013-07-10,已上传房本照片,79.44㎡,300,钢混结构, 一至二环,https://wh.lianjia.com/ershoufang/104100617326.html,满两年,高楼层,暂无数据
南,一梯七户,简装,0,16786,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/379997382070055/,共有,暂无数据,48.85㎡,暂无数据,塔楼,,1室0厅1厨1卫,104100620037,30,2017-09-24 22:25:26,2017-09-23,暂无数据,未上传房本照片,暂无数据,82,钢混结构, 一至二环,https://wh.lianjia.com/ershoufang/104100620037.html,暂无数据,中楼层,暂无数据
南,两梯六户,其他,0,27983,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711063453818/,暂无数据,暂无数据,110.78㎡,有,板楼,,3室1厅1厨1卫,104100620111,32,2017-09-24 22:25:26,2017-09-23,暂无数据,未上传房本照片,暂无数据,310,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100620111.html,暂无数据,中楼层,平层
东 南 北,一梯六户,其他,0,18469,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711058328381/,暂无数据,暂无数据,136.99㎡,暂无数据,塔楼,,3室2厅1厨2卫,104100618157,22,2017-09-24 22:25:27,2017-09-22,暂无数据,未上传房本照片,暂无数据,253,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100618157.html,暂无数据,高楼层,暂无数据
西,三梯十七户,其他,0,20909,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711062908245/,暂无数据,暂无数据,44㎡,有,塔楼,,1室0厅1厨1卫,104100619272,29,2017-09-24 22:25:28,2017-09-23,暂无数据,未上传房本照片,暂无数据,92,钢混结构, 一至二环,https://wh.lianjia.com/ershoufang/104100619272.html,暂无数据,中楼层,平层
南,三梯六户,其他,0,32000,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711056513540/,暂无数据,暂无数据,100㎡,有,板楼,,2室2厅1厨1卫,104100618512,32,2017-09-24 22:26:00,2017-09-23,暂无数据,未上传房本照片,暂无数据,320,钢混结构, 一至二环,https://wh.lianjia.com/ershoufang/104100618512.html,暂无数据,低楼层,暂无数据
